date,n,top5
2024-06-03,73,"[{'id': '2330', 'w': 0.6814, 'roic': 20.1}, {'id': '2454', 'w': 0.0598, 'roic': 26.1}, {'id': '2382', 'w': 0.0321, 'roic': 27.8}, {'id': '2308', 'w': 0.027, 'roic': 15.1}, {'id': '6669', 'w': 0.0134, 'roic': 24.5}]"
2024-07-01,73,"[{'id': '2330', 'w': 0.6955, 'roic': 20.1}, {'id': '2454', 'w': 0.0592, 'roic': 26.1}, {'id': '2382', 'w': 0.0312, 'roic': 27.8}, {'id': '2308', 'w': 0.0283, 'roic': 15.1}, {'id': '6669', 'w': 0.0123, 'roic': 24.5}]"
2024-08-01,73,"[{'id': '2330', 'w': 0.7054, 'roic': 20.1}, {'id': '2454', 'w': 0.0516, 'roic': 26.1}, {'id': '2308', 'w': 0.0314, 'roic': 15.1}, {'id': '2382', 'w': 0.0298, 'roic': 27.8}, {'id': '6669', 'w': 0.0103, 'roic': 24.5}]"
2024-09-02,76,"[{'id': '2330', 'w': 0.6981, 'roic': 20.8}, {'id': '2454', 'w': 0.0537, 'roic': 27.2}, {'id': '2308', 'w': 0.0293, 'roic': 15.1}, {'id': '2382', 'w': 0.0276, 'roic': 28.4}, {'id': '2207', 'w': 0.0099, 'roic': 35.9}]"
2024-10-01,76,"[{'id': '2330', 'w': 0.7061, 'roic': 20.8}, {'id': '2454', 'w': 0.0522, 'roic': 27.2}, {'id': '2308', 'w': 0.0281, 'roic': 15.1}, {'id': '2382', 'w': 0.0272, 'roic': 28.4}, {'id': '2207', 'w': 0.0103, 'roic': 35.9}]"
2024-11-01,76,"[{'id': '2330', 'w': 0.7103, 'roic': 20.8}, {'id': '2454', 'w': 0.0531, 'roic': 27.2}, {'id': '2382', 'w': 0.0296, 'roic': 28.4}, {'id': '2308', 'w': 0.0272, 'roic': 15.1}, {'id': '2207', 'w': 0.009, 'roic': 35.9}]"
2024-12-02,68,"[{'id': '2330', 'w': 0.7248, 'roic': 22.5}, {'id': '2454', 'w': 0.0545, 'roic': 27.0}, {'id': '2382', 'w': 0.0287, 'roic': 26.1}, {'id': '2308', 'w': 0.0273, 'roic': 16.9}, {'id': '2345', 'w': 0.0107, 'roic': 38.4}]"
2025-01-02,68,"[{'id': '2330', 'w': 0.7247, 'roic': 22.5}, {'id': '2454', 'w': 0.0555, 'roic': 27.0}, {'id': '2308', 'w': 0.0284, 'roic': 16.9}, {'id': '2382', 'w': 0.0266, 'roic': 26.1}, {'id': '6669', 'w': 0.012, 'roic': 24.7}]"
2025-02-03,67,"[{'id': '2330', 'w': 0.7288, 'roic': 22.5}, {'id': '2454', 'w': 0.0617, 'roic': 27.0}, {'id': '2308', 'w': 0.0272, 'roic': 16.9}, {'id': '2382', 'w': 0.0231, 'roic': 26.1}, {'id': '2345', 'w': 0.0105, 'roic': 38.4}]"
2025-03-03,75,"[{'id': '2330', 'w': 0.7124, 'roic': 24.4}, {'id': '2454', 'w': 0.062, 'roic': 28.0}, {'id': '2382', 'w': 0.0244, 'roic': 25.9}, {'id': '2345', 'w': 0.0099, 'roic': 39.8}, {'id': '3008', 'w': 0.0093, 'roic': 15.0}]"
2025-04-01,75,"[{'id': '2330', 'w': 0.7107, 'roic': 24.4}, {'id': '2454', 'w': 0.0661, 'roic': 28.0}, {'id': '2382', 'w': 0.0244, 'roic': 25.9}, {'id': '2345', 'w': 0.0096, 'roic': 39.8}, {'id': '2395', 'w': 0.0094, 'roic': 17.8}]"
2025-05-02,75,"[{'id': '2330', 'w': 0.7181, 'roic': 24.4}, {'id': '2454', 'w': 0.0591, 'roic': 28.0}, {'id': '2382', 'w': 0.0263, 'roic': 25.9}, {'id': '6669', 'w': 0.0107, 'roic': 28.3}, {'id': '2345', 'w': 0.0101, 'roic': 39.8}]"
2025-06-02,74,"[{'id': '2330', 'w': 0.6826, 'roic': 25.8}, {'id': '2454', 'w': 0.0546, 'roic': 27.8}, {'id': '2382', 'w': 0.0271, 'roic': 33.2}, {'id': '2308', 'w': 0.0264, 'roic': 16.2}, {'id': '6669', 'w': 0.012, 'roic': 31.6}]"
2025-07-01,74,"[{'id': '2330', 'w': 0.7006, 'roic': 25.8}, {'id': '2454', 'w': 0.0493, 'roic': 27.8}, {'id': '2308', 'w': 0.0279, 'roic': 16.2}, {'id': '2382', 'w': 0.0263, 'roic': 33.2}, {'id': '2357', 'w': 0.0115, 'roic': 15.4}]"
2025-08-04,74,"[{'id': '2330', 'w': 0.6934, 'roic': 25.8}, {'id': '2454', 'w': 0.0496, 'roic': 27.8}, {'id': '2308', 'w': 0.0366, 'roic': 16.2}, {'id': '2382', 'w': 0.0248, 'roic': 33.2}, {'id': '2345', 'w': 0.0118, 'roic': 45.3}]"
2025-09-01,71,"[{'id': '2330', 'w': 0.6892, 'roic': 28.5}, {'id': '2454', 'w': 0.0491, 'roic': 28.2}, {'id': '2308', 'w': 0.0411, 'roic': 18.2}, {'id': '2382', 'w': 0.0219, 'roic': 34.0}, {'id': '2345', 'w': 0.0121, 'roic': 49.4}]"
2025-10-01,71,"[{'id': '2330', 'w': 0.7031, 'roic': 28.5}, {'id': '2308', 'w': 0.0465, 'roic': 18.2}, {'id': '2454', 'w': 0.0415, 'roic': 28.2}, {'id': '2382', 'w': 0.0219, 'roic': 34.0}, {'id': '6669', 'w': 0.0123, 'roic': 42.5}]"
2025-11-03,71,"[{'id': '2330', 'w': 0.7141, 'roic': 28.5}, {'id': '2308', 'w': 0.0468, 'roic': 18.2}, {'id': '2454', 'w': 0.0374, 'roic': 28.2}, {'id': '2382', 'w': 0.0203, 'roic': 34.0}, {'id': '6669', 'w': 0.0143, 'roic': 42.5}]"
2025-12-01,71,"[{'id': '2330', 'w': 0.7107, 'roic': 29.2}, {'id': '2308', 'w': 0.0493, 'roic': 18.5}, {'id': '2454', 'w': 0.0443, 'roic': 25.6}, {'id': '2382', 'w': 0.0209, 'roic': 29.1}, {'id': '6669', 'w': 0.0157, 'roic': 37.0}]"
2026-01-02,71,"[{'id': '2330', 'w': 0.7301, 'roic': 29.2}, {'id': '2308', 'w': 0.0459, 'roic': 18.5}, {'id': '2454', 'w': 0.0411, 'roic': 25.6}, {'id': '2382', 'w': 0.0183, 'roic': 29.1}, {'id': '6669', 'w': 0.0145, 'roic': 37.0}]"
2026-02-02,71,"[{'id': '2330', 'w': 0.7391, 'roic': 29.2}, {'id': '2308', 'w': 0.0493, 'roic': 18.5}, {'id': '2454', 'w': 0.0442, 'roic': 25.6}, {'id': '2382', 'w': 0.0164, 'roic': 29.1}, {'id': '6669', 'w': 0.0106, 'roic': 37.0}]"
2026-03-02,72,"[{'id': '2330', 'w': 0.7285, 'roic': 29.7}, {'id': '2308', 'w': 0.0527, 'roic': 22.2}, {'id': '2454', 'w': 0.0433, 'roic': 26.6}, {'id': '2382', 'w': 0.016, 'roic': 26.4}, {'id': '2383', 'w': 0.0122, 'roic': 28.6}]"
2026-04-01,72,"[{'id': '2330', 'w': 0.7227, 'roic': 29.7}, {'id': '2308', 'w': 0.0574, 'roic': 22.2}, {'id': '2454', 'w': 0.0352, 'roic': 26.6}, {'id': '2382', 'w': 0.0162, 'roic': 26.4}, {'id': '2383', 'w': 0.0154, 'roic': 28.6}]"
2026-05-04,72,"[{'id': '2330', 'w': 0.6929, 'roic': 29.7}, {'id': '2308', 'w': 0.0676, 'roic': 22.2}, {'id': '2454', 'w': 0.0539, 'roic': 26.6}, {'id': '2383', 'w': 0.0201, 'roic': 28.6}, {'id': '2345', 'w': 0.0164, 'roic': 55.8}]"
2026-06-01,82,"[{'id': '2330', 'w': 0.6534, 'roic': 31.2}, {'id': '2454', 'w': 0.0779, 'roic': 25.9}, {'id': '2308', 'w': 0.0671, 'roic': 24.0}, {'id': '2383', 'w': 0.0195, 'roic': 31.9}, {'id': '2345', 'w': 0.015, 'roic': 54.9}]"
2026-07-01,82,"[{'id': '2330', 'w': 0.6742, 'roic': 31.2}, {'id': '2454', 'w': 0.0717, 'roic': 25.9}, {'id': '2308', 'w': 0.0536, 'roic': 24.0}, {'id': '2383', 'w': 0.0206, 'roic': 31.9}, {'id': '2345', 'w': 0.0154, 'roic': 54.9}]"
