stock_id,name,industry,market,market_cap,price
2429,銘旺科,電子零組件業,twse,2731725065.2313232,31.950000762939453
1439,雋揚,紡織纖維,twse,2727799964.904785,29.649999618530273
6465,威潤,通信網路業,tpex,2717389510.0,46.0
4905,台聯電,通信網路業,tpex,2621646585.753624,89.5999984741211
6123,上奇,電腦及週邊設備業,tpex,2607248207.6950073,43.099998474121094
6574,霈方,生技醫療業,tpex,2605815000.0,118.5
2916,滿心,貿易百貨,tpex,2601236750.0,40.25
9955,佳龍,其他,twse,2600173222.2651653,24.899999618530273
4747,強生,生技醫療業,tpex,2568548308.0,28.25
6405,悅城,光電業,twse,2566200000.0,39.0
6432,今展科,電子零組件業,tpex,2563626769.5202103,66.0999984741211
6924,榮惠-KY創,創新版股票,twse,2413008000.0,117.0
6423,億而得,半導體業,tpex,2394515153.8085938,79.0999984741211
6558,興能高,電子工業,twse,2311898814.222336,24.649999618530273
3313,斐成,電子零組件業,tpex,2277678501.477931,10.300000190734863
6508,惠光,農業科技業,tpex,2267321866.0240173,26.200000762939453
3521,鴻翊,電腦及週邊設備業,tpex,2257051385.9360657,12.149999618530273
5905,南仁湖,貿易百貨,tpex,2255800294.4583893,8.010000228881836
3512,皇龍,電子零組件業,tpex,2227525814.6673737,19.700000762939453
8171,天宇,通信網路業,tpex,2173323635.2500916,19.450000762939453
7718,友鋮,鋼鐵工業,tpex,2157099447.886322,47.349998474121094
6419,京晨科,光電業,tpex,2144917000.0,163.0
8487,愛爾達-創,創新版股票,twse,2127033439.6770859,70.9000015258789
6597,立誠,電子零組件業,tpex,2114242944.5590973,72.4000015258789
1259,安心,觀光事業,tpex,2105317500.0,65.0
2937,集雅社,貿易百貨,tpex,2100900293.75,48.25
3557,嘉威,其他,twse,2065728157.5,24.5
6552,易華電,電子工業,twse,2062550031.6619873,24.850000381469727
6807,峰源-KY,其他,twse,2052000000.0,38.0
6474,華豫寧,電子通路業,tpex,2045895491.1243095,38.95000076293945
6517,保勝光學,光電業,tpex,2009043688.780136,65.69999694824219
6431,光麗-KY,電子工業,twse,1977196276.190586,20.299999237060547
2702,華園,觀光事業,twse,1965493179.8715591,12.550000190734863
6570,維田,電腦及週邊設備業,tpex,1952468285.3606415,52.599998474121094
6527,明達醫,生技醫療業,tpex,1900657500.0,75.0
3171,新洲,貿易百貨,tpex,1897443954.0,63.0
